Distrito	MUNICÍPIO	Nome  Presidente	MORADA	CÓDIGO POSTAL	E-mail	Telefone 	Sitio
Distrito COIMBRA	MONTEMOR-O-VELHO	Emílio Augusto Ferreira Torrão 	Praça da República	3140-258	geral@cm-montemorvelho.pt	239687300	www.cm-montemorvelho.pt
Distrito SETÚBAL	MONTIJO	Nuno Miguel Ribeiro Canta 	Rua Manuel Neves Nunes de Almeida	2870-352	geral@mun-montijo.pt	212327600	www.mun-montijo.pt
Distrito ÉVORA	MORA	Luis Simão Duarte de Matos	Rua do Município	7490-243	geral@cm-mora.pt	266439070	www.cm-mora.pt
Distrito VISEU	MORTÁGUA	José Júlio Henriques Norte 	Rua Dr. João Lopes de Morais	3450-153	mortagua@cm-mortagua.pt	231927460	www.cm-mortagua.pt
Distrito BEJA	MOURA	Álvaro José Pato Azevedo Alegria	Praça Sacadura Cabral	7860-207	cmmoura@cm-moura.pt	285250400	www.cm-moura.pt
Distrito ÉVORA	MOURÃO	Maria Clara Pimenta Pinto Martins Safara 	Praça da República N.º 20 	7240-233	gap@cm-mourao.pt	266560010	www.cm-mourao.pt
Distrito VILA REAL	MURÇA	Mário Artur Correia Lopes	Praça 5 de Outubro	5090-112	geral@cm-murca.pt	259510120	www.cm-murca.pt
Distrito AVEIRO	MURTOSA	Joaquim Manuel dos Santos Baptista 	Praça do Município, 1	3870-101	geral@cm-murtosa.pt	234830100	www.cm-murtosa.pt
Distrito LEIRIA	NAZARÉ	Walter Manuel Cavaleiro Chicharro 	Av. Vieira Guimarães, 54	2450-951	geral@cm-nazare.pt	262550010	www.cm-nazare.pt
Distrito VISEU	NELAS	José Manuel Borges da Silva 	Largo do Município	3520-001	geral@cm-nelas.pt	232941300	www.cm-nelas.pt
Distrito PORTALEGRE	NISA	Maria Idalina Alves Trindade 	Praça do Município	6050-358	geral@cm-nisa.pt	245410000	www.cm-nisa.pt
R. A. AÇORES	NORDESTE  (S. Miguel Açores)	António Miguel Borges Soares	Praça da República	9630-141	geral@cmnordeste.pt	296480060	www.cmnordeste.pt
Distrito LEIRIA	ÓBIDOS	Humberto da Silva Marques 	Largo de São Pedro	2510-086	geral@cm-obidos.pt	262955500	www.cm-obidos.pt
Distrito BEJA	ODEMIRA	José Alberto Candeias Guerreiro	Praça da República	7630-139	geral@cm-odemira.pt	283320900	www.cm-odemira.pt
Distrito LISBOA	ODIVELAS	Hugo Manuel dos Santos Martins	Quinta da Memória - Rua Guilherme Gomes Fernandes	2675-372	geral@cm-odivelas.pt	219320000	www.cm-odivelas.pt
Distrito LISBOA	OEIRAS	Isaltino Afonso Morais	Largo Marquês de Pombal	2784-501	geral@cm-oeiras.pt	214408300	www.cm-oeiras.pt
Distrito CASTELO BRANCO	OLEIROS	Fernando Marques Jorge 	Praça do Município	6160-409	geral@cm-oleiros.pt	272680130	www.cm-oleiros.pt
Distrito FARO	OLHÃO	António Miguel Ventura Pina	Largo Sebastião Martins Mestre	8700-349	geral@cm-olhao.pt	289700100	www.cm-olhao.pt
Distrito AVEIRO	OLIVEIRA DE AZEMÉIS	Joaquim Jorge Ferreira	Largo da República	3720-240	geral@cm-oaz.pt	256600600	www.cm-oaz.pt
Distrito VISEU	OLIVEIRA DE FRADES	Paulo Manuel Robalo da Silva Ferreira	Largo Dr. Joaquim de Almeida	3680-111	cmofrades@mail.telepac.pt	232760300	www.cm-ofrades.com
Distrito AVEIRO	OLIVEIRA DO BAIRRO	Duarte dos Santos Almeida Novo	Praça do Município,  Ed. Paços do Concelho	3770-851	cmolb@cm-olb.pt	234732100	www.cm-olb.pt
Distrito COIMBRA	OLIVEIRA DO HOSPITAL	José Carlos Alexandrino Mendes	Largo Conselheiro Cabral Metello	3400-062	geral@cm-oliveiradohospital.pt	238605250	www.cm-oliveiradohospital.pt
Distrito SANTARÉM	OURÉM	Luis Miguel Marques Grossinho Coutinho Albuquerque	Praça Dª Maria II, 1	2490-499	geral@mail.cm-ourem.pt	249540900	www.cm-ourem.pt
Distrito BEJA	OURIQUE	Marcelo David Coelho Guerreiro	Avenida 25 de Abril, N.º 26	7670-250	geral@cmourique.pt	286510400	www.cm-ourique.pt
Distrito AVEIRO	OVAR	Salvador Malheiro Ferreira da Silva 	Praça da República	3880-141	gapresidencia@cm-ovar.pt	256581300	www.cm-ovar.pt
Distrito PORTO	PAÇOS DE FERREIRA	Humberto Fernando Leão Pacheco de Brito 	Praça da República, 46	4590-527	geral@cm-pacosdeferreira.pt	255860700	www.cm-pacosdeferreira.pt
Distrito SETÚBAL	PALMELA	Álvaro Manuel Balseiro Amaro 	Largo do Município	2954-001	geral@cm-palmela.pt	212336600	www.cm-palmela.pt
Distrito COIMBRA	PAMPILHOSA DA SERRA	José Alberto Pacheco Brito Dias	Rua Rangel de Lima	3320-229	municipio@cm-pampilhosadaserra.pt	235590320	www.cm-pampilhosadaserra.pt
Distrito PORTO	PAREDES	José Alexandre da Silva Almeida	Parque Jose Guilherme	4580-130	cmparedes@cm-paredes.pt	255788800	www.cm-paredes.pt
Distrito VIANA DO CASTELO	PAREDES DE COURA	Vítor Paulo Gomes Pereira 	Largo Visconde de Moselos - Apartado 6	4941-909	geral@paredesdecoura.pt	251780100	www.paredesdecoura.pt
Distrito LEIRIA	PEDRÓGÃO GRANDE	Valdemar Gomes Fernandes Alves 	Largo da Devesa	3271-909	geral@cm-pedrogaogrande.pt	236480150	www.cm-pedrogaogrande.pt
Distrito COIMBRA	PENACOVA	Humberto José Baptista Oliveira	Largo Alberto Leitão, nº 5	3360-341	geral@cm-penacova.pt	239470300	www.cm-penacova.pt
Distrito PORTO	PENAFIEL	Antonino Aurélio Vieira de Sousa 	Praça do Município	4564-002	penafiel@cm-penafiel.pt	255710700	www.cm-penafiel.pt
Distrito VISEU	PENALVA DO CASTELO	Francisco Lopes de Carvalho 	Avenida Castendo, N.º 1	3550-185	geral@cm-penalvadocastelo.pt	232640020	www.cm-penalvadocastelo.pt
Distrito CASTELO BRANCO	PENAMACOR	António Luís Beites Soares 	Largo do Município	6090-543	secretaria.gap@cm-penamacor.pt	277394106	www.cm-penamacor.pt
Distrito VISEU	PENEDONO	António Carlos Saraiva Esteves de Carvalho	Largo da Devesa	3630-253	cm-penedono@cm-penedono.pt	254509030	www.cm-penedono.pt
Distrito COIMBRA	PENELA	Luis Filipe da Silva Lourenço Matias 	Praça do Município	3230-253	cmpenela@cm-penela.pt	239560120	www.cm-penela.pt
Distrito LEIRIA	PENICHE	Henrique Bertino Batista Antunes	Largo do Município	2520-239	cmpeniche@cm-peniche.pt	262780100	www.cm-peniche.pt
Distrito VILA REAL	PESO DA RÉGUA	José Manuel Gonçalves	Praça do Município	5054-003	cmregua@cmpr.pt	254320230	www1.cm-pesoregua.pt
Distrito GUARDA	PINHEL	Rui Manuel Saraiva Ventura	Largo Ministro Duarte Pacheco, 8	6400-358	cm-pinhel@cm-pinhel.pt	271410000	www.cm-pinhel.pt
Distrito LEIRIA	POMBAL	Luís Diogo de Paiva Morão Alves Mateus	Largo do Cardal	3100-440	geral@cm-pombal.pt	236210500	www.cm-pombal.pt
R. A. AÇORES	PONTA DELGADA	José Manuel Cabral Dias Bolieiro	Praça do Município	9504-523	geral@mpdelgada.pt	296304400	www.cm-pontadelgada.pt
R. A. MADEIRA	PONTA DO SOL	Célia Maria da Silva Pecegueiro	Rua de Santo António N. º 5	9360-219	presidencia@cm-pontadosol.pt	291972106	www.cm-pontadosol.pt
Distrito VIANA DO CASTELO	PONTE DA BARCA	Augusto Manuel dos Reis Marinho	Praça Dr. António Lacerda	4980-620	geral@cmpb.pt	258480180	www.cmpb.pt
Distrito VIANA DO CASTELO	PONTE DE LIMA	Victor Manuel Alves Mendes	Praça da República	4990-062	geral@cm-pontedelima.pt	258900400	www.cm-pontedelima.pt
Distrito PORTALEGRE	PONTE DE SOR	Hugo Luís Pereira Hilário 	Campo da Restauração	7400-223	geral@cm-pontedesor.pt	242291580	www.cm-pontedesor.pt
Distrito PORTALEGRE	PORTALEGRE	Maria Adelaide Lebreiro de Aguiar Marques Teixeira	Rua Guilherme Gomes Fernandes, N.º 28	7300-186	municipio@cm-portalegre.pt	245307400	www.cm-portalegre.pt
Distrito ÉVORA	PORTEL	José Manuel Clemente Grilo 	Praça D. Nuno Álvares Pereira	7220-375	geral@mail.cm-portel.pt	266619030	www.cm-portel.pt
Distrito FARO	PORTIMÃO	Isilda Maria Prazeres Varges Gomes	Praça 1º de Maio	8500-543	geral@cm-portimao.pt	282470700	www.cm-portimao.pt
Distrito PORTO	PORTO	Rui de Carvalho de Araújo Moreira 	Praça General Humberto Delgado	4049-001	geral@cm-porto.pt	222097000	www.cm-porto.pt
Distrito LEIRIA	PORTO DE MÓS	José Jorge Couto Vala	Praça da República	2484-001	geral@municipio-portodemos.pt	244499600	www.municipio-portodemos.pt
R. A. MADEIRA	PORTO MONIZ	João Emanuel Silva Câmara 	Praça do Lyra	9270-053	geral@portomoniz.pt	291850180	www.portomoniz.pt
R. A. MADEIRA	PORTO SANTO	José Idalino de Vasconcelos	Rua Dr. Nuno Silvestre Teixeira	9400-000	info@cm-portosanto.pt	291980640	www.cm-portosanto.pt
Distrito BRAGA	PÓVOA DE LANHOSO	Avelino Adriano Gaspar da Silva	Av. da República	4830-513	geral@mun-planhoso.pt	253639700	www.mun-planhoso.pt
Distrito PORTO	PÓVOA DE VARZIM	Aires Henrique do Couto Pereira 	Praça do Almada, N.º 5A	4490-438	geral@cm-pvarzim.pt	252090000	www.cm-pvarzim.pt
R. A. AÇORES	POVOAÇÃO (S. Miguel Açores)	Pedro  Nuno Sousa Melo	Largo do Município, 1	9650-411	geral@cm-povoacao.pt	296550200	www.cm-povoacao.pt
Distrito CASTELO BRANCO	PROENÇA-A-NOVA	João Manuel Ventura Grilo de Melo Lobo	Avenida do Colégio	6150-401	geral@cm-proencanova.pt	274670000	www.cm-proencanova.pt
Distrito ÉVORA	REDONDO	António José Rega Matos Recto 	Praça da República	717O-011	geral@cm-redondo.pt	266989210	www.cm-redondo.pt
Distrito ÉVORA	REGUENGOS DE MONSARAZ	José Gabriel Paixão Calixto	Praça da Liberdade, Apartado 16	7201-970	geral@cm-reguengos-monsaraz.pt	266508040	www.cm-reguengos-monsaraz.pt
Distrito VISEU	RESENDE	Manuel Joaquim Garcez Trindade 	Av. Rebelo Moniz 	4660-212	geral@cm-resende.pt	254240930	www.cm-resende.pt
R. A. MADEIRA	RIBEIRA BRAVA (Madeira)	Ricardo António Nascimento 	Rua do Visconde N.º 56	9350-213	geral@cm-ribeirabrava.pt	291952548	www.cm-ribeirabrava.pt
Distrito VILA REAL	RIBEIRA DE PENA	João Avelino Noronha Rodrigues de Carvalho	Praça do Município	4870-152	geral@cm-rpena.pt	259490500	www.cm-rpena.pt
R. A. AÇORES	RIBEIRA GRANDE	Alexandre Branco Gaudêncio 	Largo Conselheiro HIntze Ribeiro	9600-509	geralcmrg@cm-ribeiragrande.pt	296470730	www.cm-ribeiragrande.pt
Distrito SANTARÉM	RIO MAIOR	Isaura Maria Elias Crisóstomo Bernardino Morais	Praça da República	2040-320	geral@cm-riomaior.pt	243999300	www.cm-riomaior.pt
Distrito VISEU	S. JOÃO DA PESQUEIRA	Manuel António Natário Cordeiro	Av.ª Marquês de Soveral, n.º 67	5130-321	cmsjp@mail.telepac.pt	254489999	www.sjpesqueira.pt
Distrito VILA REAL	SABROSA	Domingos Manuel Alves Carvas	Rua do Loreto	5060-328	geral@cm-sabrosa.pt	259937120	www.sabrosa.pt
Distrito GUARDA	SABUGAL	António dos Santos Robalo	Praça da República	6324-007	geral@cm-sabugal.pt	271751040	www.cm-sabugal.pt
Distrito SANTARÉM	SALVATERRA DE MAGOS	Hélder Manuel Ramalho de Sousa Esménio 	Praça da República N.º 1	2120-072	geral@cm-salvaterrademagos.pt	263509500	www.cm-salvaterrademagos.pt
Distrito VISEU	SANTA COMBA DÃO	Leonel José Antunes Gouveia	Largo do Município, N.º 13	3440-337	geral@cm-santacombadao.pt	232880500	www.cm-santacombadao.pt
R. A. MADEIRA	SANTA CRUZ	Filipe Martiniano Martins de Sousa 	Praça Dr. João Abel de Freitas	9100-157	geral@cm-santacruz.pt	291520100	www.cm-santacruz.pt
R. A. AÇORES	SANTA CRUZ DA GRACIOSA	Manuel Avelar Cunha Santos	Largo Vasco da Gama	9880-352	geral@cm-graciosa.pt	295730040	www.cm-graciosa.pt
R. A. AÇORES	SANTA CRUZ DAS FLORES	José Carlos Pimentel Mendes 	Rua Senador Andre de Freitas, N.º 13	9970-337	geral@cmscflores.pt	292590700	www.cmscflores.pt
Distrito AVEIRO	SANTA MARIA DA FEIRA	Emídio Ferreira dos Santos Sousa	Praça da República, N.º 135	4524-909	santamariadafeira@cm-feira.pt	256370800	www.cm-feira.pt
Distrito VILA REAL	SANTA MARTA DE PENAGUIÃO	Luís Reguengo Machado 	Rua dos Combatentes	5030-477	geral@cm-smpenaguiao.pt	254810130	www.cm-smpenaguiao.pt
R. A. MADEIRA	SANTANA	Teófilo Alírio Reis Cunha 	Sitio do Serrado	9230-116	gap@cm-santana.com	291570200	www.cm-santana.com
Distrito SANTARÉM	SANTARÉM	Ricardo Gonçalves Ribeiro Gonçalves	Praça do Município	2005-245	geral@cm-santarem.pt	243304200	www.cm-santarem.pt
Distrito SETÚBAL	SANTIAGO DO CACÉM	Álvaro dos Santos Beijinha	Praça do Município	7540-136	geral@cm-santiagocacem.pt	269829400	www.cm-santiagocacem.pt
Distrito PORTO	SANTO TIRSO	Joaquim Barbosa Ferreira Couto 	Praça 25 de Abril	4780-373	santotirso@cm-stirso.pt	252830400	www.cm-stirso.pt
Distrito FARO	SÃO BRÁS DE ALPORTEL	Vítor Manuel Martins Guerreiro 	Rua Gago Coutinho, N.º 1	8150-151	camara@cm-sbras.pt	289840000	www.cm-sbras.pt
Distrito AVEIRO	SÃO JOÃO DA MADEIRA	Jorge Manuel Rodrigues Vultos Sequeira	Av. da Liberdade	3701-956	geral@cm-sjm.pt	256200200	www.cm-sjm.pt
Distrito VISEU	SÃO PEDRO DO SUL	Vítor Manuel de Almeida Figueiredo 	Largo da Câmara	3660-436	geral@cm-spsul.pt	232720140	www.cm-spsul.pt
R. A. AÇORES	SÃO ROQUE DO PICO	Mark Anthony Silveira 	Alameda 10 de Novembro de 1542	9940-353	geral@cm-saoroquedopico.pt	292648700	www.cm-saoroquedopico.pt
R. A. MADEIRA	SÃO VICENTE	José António Gonçalves Garcês 	Paços do Município - Vila de São Vicente	9240-225	geral@cm-saovicente.pt	291840020	www.cm-saovicente.pt
Distrito SANTARÉM	SARDOAL	António Miguel Cabedal Borges 	Praça da República 	2230-222	geral@cm-sardoal.pt	241850000	www.cm-sardoal.pt
Distrito VISEU	SÁTÃO	Paulo Manuel Lopes dos Santos	Praça Paulo VI	3560-154	geral@cm-satao.pt	232980000	www.cm-satao.pt
Distrito GUARDA	SEIA	Carlos Filipe Camelo Miranda de Figueiredo	Largo Dr. António Borges Pires	6270-494	cm-seia@cm-seia.pt	238310230	www.cm-seia.pt
Distrito SETÚBAL	SEIXAL	Joaquim Cesário Cardador dos Santos 	Alameda dos Bombeiros Voluntários, N.º 45	2844-001	camara.geral@cm-seixal.pt	212276700	www.cm-seixal.pt
Distrito VISEU	SERNANCELHE	Carlos Silva Santiago 	Edifício dos Paços do Concelho	3640-240	geral@cm-sernancelhe.pt	254598300	www.cm-sernancelhe.pt
Distrito BEJA	SERPA	Tomé Alexandre Martins Pires 	Praça da República	7830-389	geral@cm-serpa.pt	284540100	www.cm-serpa.pt
Distrito CASTELO BRANCO	SERTÃ	José Farinha Nunes	Largo do Município	6100-738	geral@cm-serta.pt	274600300	www.cm-serta.pt
Distrito SETÚBAL	SESIMBRA	Francisco Manuel Firmino de Jesus	Rua da República, 3	2970-741	geral@cm-sesimbra.pt;informação@cm-sesimbra.pt;	212288500	www.cm-sesimbra.pt
Distrito SETÚBAL	SETÚBAL	Maria das Dores Marques Banheiro Meira	Praça de Bocage	2901-866	gap@mun-setubal.pt	265541500	www.mun-setubal.pt
Distrito AVEIRO	SEVER DO VOUGA	António José Martins Coutinho 	Largo do Município	3740-262	cm.sever@cm-sever.pt	234555566	www.cm-sever.pt
Distrito FARO	SILVES	Rosa Cristina Gonçalves da Palma	Largo do Município	8300-117	expediente@cm-silves.pt	282440800	www.cm-silves.pt
Distrito SETÚBAL	SINES	Nuno José Gonçalves Mascarenhas 	Largo Ramos Costa 	7520-159	geral@mun-sines.pt	269630600	www.cm-sines.pt
Distrito LISBOA	SINTRA	Basílio Adolfo de Mendonça Horta da Franca 	Largo Dr. Virgílio Horta	2714-501	geral@cm-sintra.pt;municipe@cm-sintra.pt	219238500	www.cm-sintra.pt
Distrito LISBOA	SOBRAL DE MONTE AGRAÇO	José Alberto Quintino	Praça Dr. Eugénio Dias, N.º 4	2590-016	geral@cm-sobral.pt	261940300	www.cm-sobral.pt
Distrito COIMBRA	SOURE	Mário Jorge da Costa Rodrigues Nunes 	Praça da República	3130-218	geral@cm-soure.pt	239506550	www.cm-soure.pt
Distrito PORTALEGRE	SOUSEL	Manuel Joaquim Silva Valério	Praça da República	7470-220	geral@cm-sousel.pt	268550100	www.cm-sousel.pt
Distrito COIMBRA	TÁBUA	Mário de Almeida Loureiro 	Praça da República	3420-308	geral@cm-tabua.pt	235410340	www.cm-tabua.pt
Distrito VISEU	TABUAÇO	Carlos André Teles Paulo de Carvalho 	Rua António José de Almeida, 36	5120-413	cm-tabuaco@cm-tabuaco.pt	254780000	www.cm-tabuaco.pt
Distrito VISEU	TAROUCA	Valdemar de Carvalho Pereira 	Av.Dr.Alexandre Taveira Cardoso	3610-128	camara@cm-tarouca.pt	254677420	www.cm-tarouca.pt
Distrito FARO	TAVIRA	Jorge Manuel Nascimento Botelho	Praça da República	8800-951	camara@cm-tavira.pt	281320500	www.cm-tavira.pt
Distrito BRAGA	TERRAS DE BOURO	Manuel João Sampaio Tibo	Praça do Município	4840-100	geral@cm-terrasdebouro.pt	253350010	www.cm-terrasdebouro.pt
Distrito SANTARÉM	TOMAR	Anabela Gaspar de Freitas 	Praça da República	2300-550	presidencia@cm-tomar.pt	249329800	www.cm-tomar.pt
Distrito VISEU	TONDELA	José António Gomes de Jesus 	Largo da República, N.º 16	3464-001	geral@cm-tondela.pt	232811110	www.cm-tondela.pt
Distrito BRAGANÇA	TORRE DE MONCORVO	Nuno Jorge Rodrigues Gonçalves	Largo Dr. Campos Monteiro	5160-303	geral@torredemoncorvo.pt	279200220	www.torredemoncorvo.pt
Distrito SANTARÉM	TORRES NOVAS	Pedro Paulo Ramos Ferreira 	Rua General António César de Vasconcelos Correia	2350-421	geral@cm-torresnovas.pt	249839430	www.cm-torresnovas.pt
Distrito LISBOA	TORRES VEDRAS	Carlos Manuel Antunes Bernardes	Avenida  5 de Outubro	2560-270	geral@cm-tvedras.pt	261310400	www.cm-tvedras.pt
Distrito GUARDA	TRANCOSO	Amílcar José Nunes Salvador 	Praça do Município	6420-107	geral@cm-trancoso.pt	271829120	www.cm-trancoso.pt
Distrito PORTO	TROFA	Sérgio Humberto Pereira da Silva 	Rua das Indústrias, N.º 393 (EN 14), Apartado 65	4786-909	geral@mun-trofa.pt	252409290	www.mun-trofa.pt
Distrito AVEIRO	VAGOS	Silvério Rodrigues Regalado 	Rua da Saudade	3840-420	geral@cm-vagos.pt	234799600	www.cm-vagos.pt
Distrito AVEIRO	VALE DE CAMBRA	José Alberto Freitas Soares Pinheiro e Silva 	Edifício Municipal, Av. Camilo Tavares de Matos, N.º 19	3730-901	geral@cm-valedecambra.pt	256420510	www.cm-valedecambra.pt
Distrito VIANA DO CASTELO	VALENÇA	Jorge Manuel Salgueiro Mendes	Praça da República	4930-702	geral@cm-valenca.pt	251809500	www.cm-valenca.pt
Distrito PORTO	VALONGO	José Manuel Pereira Ribeiro 	Avenida 5 de Outubro 	4440-503	gabmunicipe@cm-valongo.pt	224227900	www.cm-valongo.pt
Distrito VILA REAL	VALPAÇOS	Amílcar Rodrigues Alves Castro de Almeida 	Praça do município	5430-482	municipio@valpacos.pt	278710130	http://valpacos.pt
R. A. AÇORES	VELAS, São Jorge, AÇORES	Luís Virgílio de Sousa da Silveira 	Rua Jardim da República	9800-539	geral@cmvelas.pt	295412214	www.cmvelas.pt
Distrito ÉVORA	VENDAS NOVAS	Luís Carlos Piteira Dias 	Avenida da República 	7080-099	geral@cm-vendasnovas.pt	265807700	www.cm-vendasnovas.pt
Distrito ÉVORA	VIANA DO ALENTEJO	Bernardino António Bengalinha Pinto	Rua Brito Camacho, N.º 13	7090-237	camara@cm-vianadoalentejo.pt	266930010	www.cm-vianadoalentejo.pt
Distrito VIANA DO CASTELO	VIANA DO CASTELO	José Maria da Cunha Costa	Passeio das Mordomas da Romaria	4904-877	cmviana@cm-viana-castelo.pt	258809300	www.cm-viana-castelo.pt
Distrito BEJA	VIDIGUEIRA	Rui Manuel Serrano Raposo	Praça da República	7960-225	geral@cm-vidigueira.pt	284437400	www.cm-vidigueira.pt
Distrito BRAGA	VIEIRA DO MINHO	António Cardoso Barbosa 	Praça Guilherme de Abreu	4850-527	geral@cm-vminho.pt	253649270	www.cm-vminho.pt
Distrito CASTELO BRANCO	VILA DE REI	Ricardo Jorge Martins Aires	Praça Família Mattos e Silva Neves	6110-174	geral@cm-viladerei.pt	274890010	www.cm-viladerei.pt
Distrito FARO	VILA DO BISPO	Adelino Augusto da Rocha Soares	Paços do Concelho	8650-407	geral@cm-viladobispo.pt	282630600	www.cm-viladobispo.pt
Distrito PORTO	VILA DO CONDE	Maria Elisa de Carvalho Ferraz 	Praça Vasco da Gama	4480-454	geral@cm-viladoconde.pt	252248400	www.cm-viladoconde.pt
R. A. AÇORES	VILA DO PORTO	Carlos Henrique Lopes Rodrigues	Largo Nossa Senhora da Conceição	9580-539	geral@cm-viladoporto.pt	296820000	www.cm-viladoporto.pt
Distrito BRAGANÇA	VILA FLOR	Fernando Francisco Teixeira de Barros	Avenida Marechal Carmona	5360-303	geral@cm-vilaflor.pt	278510100	www.cm-vilaflor.pt
Distrito LISBOA	VILA FRANCA DE XIRA	Alberto Simões Maia Mesquita 	Praça Afonso de Albuquerque, N.º 2	2600-093	geral@cm-vfxira.pt	263285600	www.cm-vfxira.pt
R. A. AÇORES	VILA FRANCA DO CAMPO	Ricardo Manuel de Amaral Rodrigues 	Praça da República	9680-115	geral@cmvfc.pt	296539100	www.cmvfc.pt
Distrito SANTARÉM	VILA NOVA DA BARQUINHA	Fernando Manuel dos Santos Freire 	Praça da República	2260-411	geral@cm-vnbarquinha.pt	249720350	www.cm-vnbarquinha.pt
Distrito VIANA DO CASTELO	VILA NOVA DE CERVEIRA	João Fernando Brito Nogueira 	Praça do Município	4920-284	geral@cm-vncerveira.pt	251708020	www.cm-vncerveira.pt
Distrito BRAGA	VILA NOVA DE FAMALICÃO	Paulo Alexandre Matos Cunha 	Praça Álvaro Marques	4764-502	camaramunicipal@vilanovadefamalicao.org	252320900	www.vilanovadefamalicao.org
Distrito GUARDA	VILA NOVA DE FOZ CÔA	Gustavo de Sousa Duarte	Praça do Município	5150-642	correio@cm-fozcoa.pt	279760400	www.cm-fozcoa.pt
Distrito PORTO	VILA NOVA DE GAIA	Eduardo Vitor Rodrigues	Rua Álvares Cabral	4400-017	geral@cm-gaia.pt	223742400	www.cm-gaia.pt
Distrito VISEU	VILA NOVA DE PAIVA	José Morgado Ribeiro	Praça D. Afonso Henriques, N.º 1	3650-207	geral@cm-vnpaiva.pt	232609900	www.cm-vnpaiva.pt
Distrito COIMBRA	VILA NOVA DE POIARES	João Miguel Sousa Henriques 	Largo da República	3350-156	geral@cm-vilanovadepoiares.pt	239420850	www.cm-vilanovadepoiares.pt
Distrito VILA REAL	VILA POUCA DE AGUIAR	António Alberto Pires Aguiar Machado 	Rua Dr. Henrique Botelho	5450-027	geral@cm-vpaguiar.pt	259419100	www.cm-vpaguiar.pt
R. A. AÇORES	VILA PRAIA DA VITÓRIA	Tibério Manuel Faria Dinis	Praça Francisco Ornelas da Câmara	9760-851	geral@cmpv.pt	295540200	www.cmpv.pt
Distrito VILA REAL	VILA REAL	Rui Santos 	Avenida Carvalho Araújo	5000-657	geral@cm-vilareal.pt	259308100	www.cm-vilareal.pt
Distrito FARO	VILA REAL DE SANTO ANTÓNIO	Maria da Conceição Cipriano Cabrita	Praça Marquês de Pombal	8900-231	geral@cm-vrsa.pt	281510000	www.cm-vrsa.pt
Distrito CASTELO BRANCO	VILA VELHA DE RÓDÃO	Luís Miguel Ferro Pereira 	Rua de Santana	6030-230	geral@cm-vvrodao.pt	272540300	www.cm-vvrodao.pt
Distrito BRAGA	VILA VERDE	António Fernando Nogueira Cerqueira Vilela	Praça do Município	4730-733	geral@cm-vilaverde.pt	253310500	www.cm-vilaverde.pt
Distrito ÉVORA	VILA VIÇOSA	Manuel João Fontainhas Condenado 	Praça da República	7160-207	geral@cm-vilavicosa.pt	268889310	www.cm-vilavicosa.pt
Distrito BRAGANÇA	VIMIOSO	António Jorge Fidalgo Martins	Praça Eduardo Coelho	5230-315	gi.cmv@cm-vimioso.pt	273518120	www.cm-vimioso.pt
Distrito BRAGANÇA	VINHAIS	Luis dos Santos Fernandes	R. das Freiras, N.º 13	5320-326	geral@cm-vinhais.pt	273770300	www.cm-vinhais.pt
Distrito VISEU	VISEU	António Joaquim Almeida Henriques 	Praça da República	3514-501	geral@cmviseu.pt	232427427	www.cm-viseu.pt
Distrito BRAGA	VIZELA	Vitor Hugo Machado da Costa Salgado de Abreu	Praça do município, nº 522	4815-013	geral@cm-vizela.pt	253489630	www.cm-vizela.pt
Distrito VISEU	VOUZELA	Rui Miguel Ladeira Pereira 	Alameda D. Duarte de Almeida	3670-250	geral@cm-vouzela.pt	232740740	www.cm-vouzela.pt
